arm_id,arm_code,architecture,class,f1_median,f1_q1,f1_q3,precision_median,recall_median
distributed-ig-rvnd-bitflip,IG-RVND-BF,distributed,injection,0.996744302529,0.9965876805185001,0.9969020842335,0.998493975809,0.995
distributed-ig-rvnd-bitflip,IG-RVND-BF,distributed,inverse_replay,0.997188023329,0.99687441391575,0.997469558001,0.9971247176010001,0.997375
distributed-ig-rvnd-bitflip,IG-RVND-BF,distributed,masquerade_fake_fault,0.998499749586,0.998094753326,0.9987507807617501,0.9981269041975,0.998875
distributed-ig-rvnd-bitflip,IG-RVND-BF,distributed,masquerade_fake_normal,0.9971228421314999,0.99674412216025,0.997372701113,0.9979952371495,0.996375
distributed-ig-rvnd-bitflip,IG-RVND-BF,distributed,normal,0.8414830168325,0.839471058285,0.84485180268725,0.8313006193605,0.851625
distributed-ig-rvnd-bitflip,IG-RVND-BF,distributed,poisoned_high_rate,0.999125764956,0.999125764956,0.999125764956,0.99825305715,1.0
distributed-ig-rvnd-bitflip,IG-RVND-BF,distributed,random_replay,0.9447339202914999,0.94185170751375,0.9522476480385,0.9620931284515,0.92925
distributed-ig-rvnd-iwss,IG-RVND-IWSS,distributed,grayhole,0.7160842547940001,0.7112319790985,0.71903645051625,0.724110557855,0.708375
distributed-ig-rvnd-iwss,IG-RVND-IWSS,distributed,high_StNum,0.999624859322,0.999624859322,0.999624859322,1.0,0.99925
distributed-ig-rvnd-iwss,IG-RVND-IWSS,distributed,injection,0.9963068108435,0.99586590964525,0.9967135033335001,0.99811951231,0.99475
distributed-ig-rvnd-iwss,IG-RVND-IWSS,distributed,inverse_replay,0.996750812297,0.996749187297,0.997062328082,0.9968762783389999,0.997
distributed-ig-rvnd-iwss,IG-RVND-IWSS,distributed,masquerade_fake_fault,0.9984383823080001,0.99822014343475,0.99875000771125,0.9978774034955,0.999
distributed-ig-rvnd-iwss,IG-RVND-IWSS,distributed,masquerade_fake_normal,0.9964973710565,0.9962474197047501,0.996872482315,0.9974949893514999,0.9958750000000001
distributed-ig-rvnd-iwss,IG-RVND-IWSS,distributed,normal,0.841843832985,0.8380555655874999,0.8447842159385,0.828728818641,0.8534999999999999
distributed-ig-rvnd-iwss,IG-RVND-IWSS,distributed,poisoned_high_rate,0.999125764956,0.9989697451292501,0.999125764956,0.99825305715,1.0
