arm_id,arm_code,architecture,n_runs,validation_f1_macro_median,validation_f1_macro_q1,validation_f1_macro_q3,test_f1_macro_mean,test_f1_macro_sd,test_f1_macro_median,test_f1_macro_q1,test_f1_macro_q3,test_f1_macro_median_ci_low,test_f1_macro_median_ci_high,test_precision_macro_median,test_recall_macro_median,test_accuracy_median,subset_size_median,subset_size_q1,subset_size_q3,dimensionality_reduction_percent_median,unique_final_subsets,accepted_improvements_median,internal_metric_rows_median,end_to_end_time_seconds_median,internal_target_reached_runs,internal_time_to_target_seconds_median,cpu_cores_median_median,cpu_cores_median_q1,cpu_cores_median_q3,cpu_cores_peak_median,cpu_cores_peak_q1,cpu_cores_peak_q3,cpu_budget_utilization_median_percent_median,cpu_budget_utilization_median_percent_q1,cpu_budget_utilization_median_percent_q3,memory_mib_median_median,memory_mib_median_q1,memory_mib_median_q3,memory_mib_peak_median,memory_mib_peak_q1,memory_mib_peak_q3,memory_budget_utilization_peak_percent_median,memory_budget_utilization_peak_percent_q1,memory_budget_utilization_peak_percent_q3,pids_median_median,pids_median_q1,pids_median_q3,network_rx_final_mib_median,network_rx_final_mib_q1,network_rx_final_mib_q3,network_tx_final_mib_median,network_tx_final_mib_q1,network_tx_final_mib_q3,disk_read_final_mib_median,disk_read_final_mib_q1,disk_read_final_mib_q3,disk_write_final_mib_median,disk_write_final_mib_q1,disk_write_final_mib_q3
distributed-su-vnd-iwss,SU-VND-IWSS,distributed,8,0.9414535348695,0.94082414825125,0.94248748500025,0.942077581643125,0.0015114718441069377,0.941862140031,0.9411034964655001,0.94258994665975,0.94052532975,0.943799684527,0.945078805455,0.9406805555555,0.9314375,17.0,14.0,21.0,66.66666666666667,8,9.0,205.0,2825.9004999999997,0,,3.051775,3.04445,3.0564,4.7513000000000005,4.29045,5.987125000000001,38.1471875,38.055625,38.205,4939.895,4913.384,5036.718,6124.853999999999,6031.129999999999,6169.6900000000005,37.383142089843744,36.81109619140625,37.65679931640626,375.0,375.0,376.0,12.536096572875977,11.603689193725586,13.715457916259766,12.498712539672852,11.576700210571289,13.697004318237305,0.0,0.0,0.0,31.441688537597656,31.406641006469727,31.628131866455078
distributed-gr-rvnd-bitflip,GR-RVND-BF,distributed,8,0.9410445466315001,0.940317477607,0.9420086102152501,0.942311068713625,0.0021168431845023793,0.9418571527049999,0.941488537675,0.94223419805,0.94132336834,0.942257228735,0.9451850478425,0.9387222222225,0.9321125,15.5,12.0,18.25,69.6078431372549,8,9.0,146.0,2801.8175,0,,4.081125,4.0699749999999995,4.093062499999999,5.615,5.2859,5.8950000000000005,51.0140625,50.8746875,51.16328125,5645.439,5569.417,5934.973000000001,7126.513999999999,7013.42,7604.511,43.496789550781244,42.8065185546875,46.414251708984374,378.0,378.0,379.0,9.858989715576172,9.790730476379395,9.982800483703613,9.833288192749023,9.758877754211426,9.955000877380371,0.0019550323486328125,0.0,0.003910064697265625,38.91754150390625,38.90514373779297,39.44253921508789
distributed-gr-rvnd-iwssr,GR-RVND-IWSSR,distributed,8,0.941605956822,0.940880039898,0.942970455427,0.9422725592098751,0.0022131816140277556,0.9418267573485,0.9408382864060001,0.94343666538825,0.940107552631,0.944644265346,0.9458827598855,0.9382291666664999,0.9324250000000001,12.5,10.75,13.5,75.49019607843138,8,8.5,119.0,2833.5434999999998,0,,4.0807,4.063199999999999,4.093275,5.5758,5.2307,5.9392499999999995,51.00874999999999,50.78999999999999,51.1659375,5707.871999999999,5542.732,5767.91,7561.866,7303.101000000001,7767.019,46.153967285156256,44.57459106445313,47.406121826171876,379.0,378.75,379.0,13.10420036315918,10.427021980285645,13.964295387268066,13.074445724487305,10.397028923034668,13.9451265335083,0.0,0.0,0.0,38.65480422973633,38.64574432373047,38.69986534118652
distributed-ig-rvnd-iwssr,IG-RVND-IWSSR,distributed,8,0.9424807260495001,0.94126372601925,0.9442876088065,0.9420411369592501,0.0016532439321347155,0.9417366276535,0.94088631123575,0.94296580650075,0.940379398205,0.94301734008,0.94418762878,0.9402569444444999,0.9317375,14.0,13.75,14.75,72.54901960784314,8,9.0,177.0,2801.5265,0,,4.09175,4.079437499999999,4.1095875,5.461950000000001,5.1541,6.5232,51.146875,50.99296874999999,51.36984375,5740.273,5552.236,5951.00075,7419.906000000001,7114.352000000001,7555.105,45.287512207031256,43.42255859375,46.11270141601562,377.5,377.0,378.0,9.845352172851562,9.684205055236816,9.921002388000488,9.804916381835938,9.650540351867676,9.891128540039062,0.0,0.0,0.0009775161743164062,38.949012756347656,38.94162178039551,38.97595405578613
distributed-gr-rvnd-iwss,GR-RVND-IWSS,distributed,8,0.9410724046635,0.9401071541867501,0.942646113066,0.941643569799,0.001173587196110158,0.9416859545525,0.9409753251092501,0.94221240899975,0.940390768531,0.942658076297,0.9441162217855,0.9400416666664999,0.9310499999999999,12.0,11.0,13.25,76.47058823529412,8,9.5,163.5,2802.791,0,,4.097025,4.083725,4.1070375,5.485099999999999,5.38645,5.671099999999999,51.2128125,51.0465625,51.33796875,5631.610000000001,5506.893,5804.4715000000015,7277.533,7081.634,7586.945,44.41853637695313,43.22286376953125,46.307037353515625,377.25,377.0,378.25,11.812067031860352,10.38510799407959,13.317394256591797,11.779212951660156,10.354065895080566,13.296127319335938,0.0,0.0,0.0009775161743164062,38.907527923583984,38.730621337890625,39.05749320983887
distributed-gr-vnd-iwssr,GR-VND-IWSSR,distributed,8,0.9429445764925,0.9395752599889999,0.94343664506725,0.9399222928425001,0.005270156550139118,0.941646352497,0.93944657930825,0.942839363042,0.934078767218,0.944103764921,0.943249208189,0.940347222222,0.930825,12.0,11.0,13.0,76.47058823529412,8,6.0,198.5,2799.3100000000004,0,,2.127525,2.1141875,2.1406125,6.49315,4.016225,6.561074999999999,26.5940625,26.42734375,26.75765625,4476.317,4335.394,4636.601000000001,5546.192,5267.262999999999,5737.03,33.85126953125,32.14882202148437,35.01605224609375,373.5,373.0,374.0,12.404537200927734,12.331628799438477,12.531614303588867,12.377452850341797,12.310147285461426,12.497210502624512,0.0019550323486328125,0.0,0.004885196685791016,24.139881134033203,24.09195899963379,24.587631225585938
distributed-su-rvnd-iwss,SU-RVND-IWSS,distributed,8,0.9414954438365,0.94058048283575,0.9420500829755,0.941148531179375,0.0013296491675152135,0.941358748385,0.94020177183725,0.9420371501655,0.939725343623,0.942237141906,0.9441562344459999,0.9394652777775,0.9313499999999999,14.5,12.5,16.25,71.56862745098039,8,9.0,201.0,2832.274,0,,4.08615,4.0638625,4.097199999999999,5.5337,5.378125,5.70055,51.076875,50.79828125,51.21499999999999,5670.673000000001,5617.741999999999,5805.467,7287.727999999999,6738.063999999999,7725.507,44.480761718749996,41.125878906249994,47.15275268554687,377.5,377.0,378.25,12.948131561279297,12.204885482788086,13.218426704406738,12.924385070800781,12.178802490234375,13.201189041137695,0.0,0.0,0.004885196685791016,38.71345520019531,38.69223594665527,38.758039474487305
distributed-su-rvnd-iwssr,SU-RVND-IWSSR,distributed,8,0.9409027675185,0.94042593538675,0.94163153358875,0.9410537862372501,0.0007393552720822536,0.941283561379,0.9404727221635,0.94157881095375,0.940184275657,0.941614710291,0.944944825539,0.938076388889,0.9314625000000001,14.5,12.75,15.5,71.56862745098039,8,8.5,188.0,2829.1435,0,,4.07475,4.06215,4.088275,5.67715,5.5328,6.465674999999999,50.934375,50.776875000000004,51.1034375,5491.856,5368.534,5622.237,7333.726000000001,6947.131,7435.715,44.761511230468756,42.401922607421874,45.384002685546875,378.5,377.0,380.0,11.00163459777832,9.852170944213867,13.715147972106934,10.976505279541016,9.824562072753906,13.681483268737793,0.0019550323486328125,0.0,0.007810592651367187,39.11161422729492,38.7575626373291,39.762258529663086
distributed-ig-vnd-iwssr,IG-VND-IWSSR,distributed,8,0.9417177927865,0.9383461978562501,0.9448897108055001,0.94094799452625,0.0038661216173339497,0.940965447741,0.93767834634475,0.94460600061475,0.937305570934,0.944618689309,0.9440167385115,0.9393194444445,0.9308624999999999,11.5,10.75,12.0,77.45098039215686,8,6.0,196.5,2799.0985,0,,2.14765,2.1379375,2.1563125,3.9475499999999997,3.616575,4.940099999999999,26.845625000000002,26.724218750000002,26.95390625,4708.918,4424.5065,4917.435,5863.922,5651.936,6039.775999999999,35.79053955078125,34.4966796875,36.8638671875,373.0,372.0,373.0,12.592220306396484,12.494349479675293,14.425182342529297,12.570905685424805,12.466120719909668,14.408397674560547,0.0,0.0,0.0009775161743164062,24.122238159179688,24.09195899963379,24.16086196899414
distributed-su-rvnd-bitflip,SU-RVND-BF,distributed,8,0.9405295243680001,0.94033968919975,0.9419215736745,0.9412439718215,0.0015361470059723074,0.940570826422,0.94026953663,0.941476145179,0.940187729753,0.942517260562,0.94511237944,0.9372291666670001,0.9312750000000001,16.0,10.5,19.0,68.62745098039215,8,8.5,173.0,2831.986,0,,4.0955,4.070500000000001,4.1065375,6.2334,5.462899999999999,6.639975,51.19375000000001,50.88125000000001,51.33171875,5588.835000000001,5511.304499999999,5730.231,7278.6,6965.89,7500.945,44.425048828125,42.51641845703125,45.782135009765625,377.0,377.0,377.0,10.257244110107422,10.082626342773438,13.42020034790039,10.228490829467773,10.057663917541504,13.397884368896484,0.0,0.0,0.007810592651367187,38.77544403076172,38.747310638427734,38.81382942199707
